
	Representative rates for the period  January 01, 1994 - November 01, 2023
	Date	U.K. pound(GBP)	
	04-Jan-1994	1.482  	
	05-Jan-1994	1.4862  	
	06-Jan-1994	1.4843  	
	07-Jan-1994	1.4836  	
	10-Jan-1994	1.4925  	
	11-Jan-1994	1.4895  	
	12-Jan-1994	1.497  	
	13-Jan-1994	1.4987  	
	14-Jan-1994	1.492  	
	17-Jan-1994	1.4935  	
	18-Jan-1994	1.4955  	
	19-Jan-1994	1.4912  	
	20-Jan-1994	1.4922  	
	21-Jan-1994	1.501  	
	24-Jan-1994	1.4936  	
	25-Jan-1994	1.4927  	
	26-Jan-1994	1.4963  	
	27-Jan-1994	1.4942  	
	28-Jan-1994	1.4995  	
	31-Jan-1994	1.4981  	
	01-Feb-1994	1.504  	
	02-Feb-1994	1.4977  	
	03-Feb-1994	1.4965  	
	04-Feb-1994	1.489  	
	07-Feb-1994	1.482  	
	08-Feb-1994	1.476  	
	09-Feb-1994	1.461  	
	10-Feb-1994	1.4595  	
	11-Feb-1994	1.4615  	
	14-Feb-1994	1.4675  	
	15-Feb-1994	1.4732  	
	16-Feb-1994	1.4756  	
	17-Feb-1994	1.477  	
	18-Feb-1994	1.4793  	
	21-Feb-1994	1.4745  	
	22-Feb-1994	1.4757  	
	23-Feb-1994	1.4768  	
	24-Feb-1994	1.4773  	
	25-Feb-1994	1.481  	
	28-Feb-1994	1.487  	
	01-Mar-1994	1.4896  	
	02-Mar-1994	1.4952  	
	03-Mar-1994	1.4912  	
	04-Mar-1994	1.4913  	
	07-Mar-1994	1.4885  	
	08-Mar-1994	1.4892  	
	09-Mar-1994	1.4912  	
	10-Mar-1994	1.4995  	
	11-Mar-1994	1.4972  	
	14-Mar-1994	1.495  	
	15-Mar-1994	1.4912  	
	16-Mar-1994	1.4863  	
	17-Mar-1994	1.4925  	
	18-Mar-1994	1.4898  	
	21-Mar-1994	1.4828  	
	22-Mar-1994	1.4868  	
	23-Mar-1994	1.4871  	
