"Figure 6: Claimant Count has increased since March 2020",""
"Unemployment for those aged 18 to 64 years, excluding 18 to 24 year-olds in full-time education, Claimant Count for those aged 18 years and over, UK, three-month average, March to May 1992 to July to September 2020, seasonally adjusted",""
"",""
"Notes","1.	The unemployment figures in this spreadsheet exclude unemployed people aged 18 to 24 years in full-time education, to make more comparable with Claimant Count data.
2.	Claimant count figures are a three-month average to compare with LFS."
"Unit","Thousands"
"",""
"","Unemployment (18-64)","Claimant Count (18+)"
" Mar to May 1992 "," 2585.5 ",""
" Apr to Jun 1992 "," 2565.6 ",""
" May to Jul 1992 "," 2586.9 "," 2713.7 "
" Jun to Aug 1992 "," 2597.9 "," 2740.7 "
" Jul to Sep 1992 "," 2589.9 "," 2772.9 "
" Aug to Oct 1992 "," 2641.1 "," 2811.3 "
" Sep to Nov 1992 "," 2698.5 "," 2848.3 "
" Oct to Dec 1992 "," 2726.8 "," 2899.2 "
" Nov to Jan 1993 "," 2769.3 "," 2928.9 "
" Dec to Feb 1993 "," 2808.5 "," 2942.8 "
" Jan to Mar 1993 "," 2794.4 "," 2930.4 "
" Feb to Apr 1993 "," 2783.1 "," 2926.4 "
" Mar to May 1993 "," 2749.0 "," 2919.3 "
" Apr to Jun 1993 "," 2726.3 "," 2912.2 "
" May to Jul 1993 "," 2723.4 "," 2896.4 "
" Jun to Aug 1993 "," 2695.5 "," 2884.9 "
" Jul to Sep 1993 "," 2674.2 "," 2869.6 "
" Aug to Oct 1993 "," 2671.0 "," 2851.5 "
" Sep to Nov 1993 "," 2669.7 "," 2824.7 "
" Oct to Dec 1993 "," 2672.3 "," 2794.3 "
" Nov to Jan 1993 "," 2676.2 "," 2775.0 "
" Dec to Feb 1994 "," 2633.4 "," 2755.0 "
" Jan to Mar 1994 "," 2594.5 "," 2737.4 "
" Feb to Apr 1994 "," 2555.2 "," 2707.5 "
" Mar to May 1994 "," 2537.0 "," 2680.3 "
" Apr to Jun 1994 "," 2518.0 "," 2651.3 "
" May to Jul 1994 "," 2496.2 "," 2623.7 "
" Jun to Aug 1994 "," 2474.9 "," 2590.5 "
" Jul to Sep 1994 "," 2422.5 "," 2557.1 "
" Aug to Oct 1994 "," 2392.9 "," 2520.9 "
" Sep to Nov 1994 "," 2347.9 "," 2487.6 "
" Oct to Dec 1994 "," 2319.2 "," 2448.6 "
" Nov to Jan 1994 "," 2295.2 "," 2416.1 "
" Dec to Feb 1995 "," 2281.3 "," 2384.4 "
" Jan to Mar 1995 "," 2280.8 "," 2362.6 "
" Feb to Apr 1995 "," 2266.1 "," 2340.0 "
" Mar to May 1995 "," 2251.1 "," 2322.9 "
" Apr to Jun 1995 "," 2220.4 "," 2306.9 "
" May to Jul 1995 "," 2231.4 "," 2294.9 "
" Jun to Aug 1995 "," 2227.1 "," 2279.4 "
" Jul to Sep 1995 "," 2232.1 "," 2259.4 "
" Aug to Oct 1995 "," 2224.2 "," 2244.4 "
" Sep to Nov 1995 "," 2191.8 "," 2233.8 "
" Oct to Dec 1995 "," 2126.1 "," 2229.8 "
" Nov to Jan 1996 "," 2146.4 "," 2216.3 "
" Dec to Feb 1996 "," 2138.5 "," 2208.5 "
" Jan to Mar 1996 "," 2108.6 "," 2194.2 "
" Feb to Apr 1996 "," 2114.7 "," 2185.1 "
" Mar to May 1996 "," 2107.1 "," 2167.7 "
" Apr to Jun 1996 "," 2103.0 "," 2152.9 "
" May to Jul 1996 "," 2076.7 "," 2130.3 "
" Jun to Aug 1996 "," 2046.4 "," 2107.0 "
" Jul to Sep 1996 "," 2034.9 "," 2076.7 "
" Aug to Oct 1996 "," 2031.2 "," 2043.1 "
" Sep to Nov 1996 "," 1998.4 "," 1983.4 "
" Oct to Dec 1996 "," 1970.0 "," 1926.1 "
" Nov to Jan 1997 "," 1925.0 "," 1864.8 "
" Dec to Feb 1997 "," 1878.4 "," 1814.4 "
" Jan to Mar 1997 "," 1831.9 "," 1758.5 "
" Feb to Apr 1997 "," 1808.4 "," 1706.6 "
" Mar to May 1997 "," 1795.6 "," 1662.2 "
" Apr to Jun 1997 "," 1784.3 "," 1617.9 "
" May to Jul 1997 "," 1807.3 "," 1581.7 "
" Jun to Aug 1997 "," 1756.3 "," 1550.7 "
" Jul to Sep 1997 "," 1708.9 "," 1526.1 "
" Aug to Oct 1997 "," 1668.7 "," 1496.1 "
" Sep to Nov 1997 "," 1647.7 "," 1464.5 "
" Oct to Dec 1997 "," 1626.3 "," 1435.4 "
" Nov to Jan 1998 "," 1583.5 "," 1414.2 "
" Dec to Feb 1998 "," 1571.9 "," 1397.2 "
" Jan to Mar 1998 "," 1570.3 "," 1382.0 "
" Feb to Apr 1998 "," 1549.1 "," 1368.3 "
" Mar to May 1998 "," 1547.4 "," 1358.1 "
" Apr to Jun 1998 "," 1530.8 "," 1351.2 "
" May to Jul 1998 "," 1538.3 "," 1346.1 "
" Jun to Aug 1998 "," 1536.8 "," 1343.0 "
" Jul to Sep 1998 "," 1530.1 "," 1337.3 "
" Aug to Oct 1998 "," 1529.0 "," 1329.9 "
" Sep to Nov 1998 "," 1516.2 "," 1324.8 "
" Oct to Dec 1998 "," 1516.4 "," 1320.5 "
" Nov to Jan 1999 "," 1529.8 "," 1316.4 "
" Dec to Feb 1999 "," 1530.2 "," 1309.5 "
" Jan to Mar 1999 "," 1514.7 "," 1303.9 "
" Feb to Apr 1999 "," 1514.1 "," 1296.7 "
" Mar to May 1999 "," 1506.9 "," 1286.2 "
" Apr to Jun 1999 "," 1489.5 "," 1274.8 "
" May to Jul 1999 "," 1476.2 "," 1260.3 "
" Jun to Aug 1999 "," 1453.0 "," 1245.6 "
" Jul to Sep 1999 "," 1452.4 "," 1232.2 "
" Aug to Oct 1999 "," 1444.7 "," 1217.5 "
" Sep to Nov 1999 "," 1447.6 "," 1202.6 "
" Oct to Dec 1999 "," 1439.1 "," 1181.4 "
" Nov to Jan 2000 "," 1452.8 "," 1168.8 "
" Dec to Feb 2000 "," 1433.1 "," 1158.1 "
" Jan to Mar 2000 "," 1425.6 "," 1153.0 "
" Feb to Apr 2000 "," 1393.7 "," 1136.5 "
" Mar to May 2000 "," 1388.0 "," 1120.7 "
" Apr to Jun 2000 "," 1366.2 "," 1103.9 "
" May to Jul 2000 "," 1328.3 "," 1091.0 "
" Jun to Aug 2000 "," 1300.2 "," 1076.2 "
" Jul to Sep 2000 "," 1310.7 "," 1060.0 "
" Aug to Oct 2000 "," 1322.9 "," 1050.0 "
" Sep to Nov 2000 "," 1293.1 "," 1041.7 "
" Oct to Dec 2000 "," 1276.7 "," 1036.7 "
" Nov to Jan 2001 "," 1264.8 "," 1024.7 "
" Dec to Feb 2001 "," 1279.7 "," 1012.7 "
" Jan to Mar 2001 "," 1255.7 "," 999.7 "
" Feb to Apr 2001 "," 1241.9 "," 988.6 "
" Mar to May 2001 "," 1212.3 "," 980.4 "
" Apr to Jun 2001 "," 1244.5 "," 970.7 "
" May to Jul 2001 "," 1239.6 "," 962.8 "
" Jun to Aug 2001 "," 1246.2 "," 954.9 "
" Jul to Sep 2001 "," 1249.1 "," 949.7 "
" Aug to Oct 2001 "," 1254.2 "," 950.1 "
" Sep to Nov 2001 "," 1263.8 "," 952.9 "
" Oct to Dec 2001 "," 1293.1 "," 959.7 "
" Nov to Jan 2002 "," 1292.9 "," 961.5 "
" Dec to Feb 2002 "," 1287.0 "," 958.9 "
" Jan to Mar 2002 "," 1290.3 "," 952.5 "
" Feb to Apr 2002 "," 1294.6 "," 951.4 "
" Mar to May 2002 "," 1305.6 "," 949.8 "
" Apr to Jun 2002 "," 1286.6 "," 950.6 "
" May to Jul 2002 "," 1295.3 "," 948.9 "
" Jun to Aug 2002 "," 1301.0 "," 948.5 "
" Jul to Sep 2002 "," 1319.2 "," 946.5 "
" Aug to Oct 2002 "," 1298.1 "," 943.0 "
" Sep to Nov 2002 "," 1277.0 "," 939.9 "
" Oct to Dec 2002 "," 1255.4 "," 937.0 "
" Nov to Jan 2003 "," 1222.3 "," 937.0 "
" Dec to Feb 2003 "," 1255.6 "," 939.0 "
" Jan to Mar 2003 "," 1278.6 "," 941.0 "
" Feb to Apr 2003 "," 1260.6 "," 939.9 "
" Mar to May 2003 "," 1229.4 "," 941.5 "
" Apr to Jun 2003 "," 1208.2 "," 943.5 "
" May to Jul 2003 "," 1241.8 "," 944.8 "
" Jun to Aug 2003 "," 1243.9 "," 940.2 "
" Jul to Sep 2003 "," 1242.9 "," 934.1 "
" Aug to Oct 2003 "," 1222.0 "," 928.0 "
" Sep to Nov 2003 "," 1212.1 "," 921.2 "
" Oct to Dec 2003 "," 1209.9 "," 913.7 "
" Nov to Jan 2004 "," 1194.5 "," 906.1 "
" Dec to Feb 2004 "," 1181.4 "," 899.1 "
" Jan to Mar 2004 "," 1170.4 "," 890.8 "
" Feb to Apr 2004 "," 1164.9 "," 881.7 "
" Mar to May 2004 "," 1173.3 "," 870.3 "
" Apr to Jun 2004 "," 1180.0 "," 859.0 "
" May to Jul 2004 "," 1166.8 "," 847.1 "
" Jun to Aug 2004 "," 1152.9 "," 839.3 "
" Jul to Sep 2004 "," 1146.5 "," 834.6 "
" Aug to Oct 2004 "," 1156.5 "," 833.0 "
" Sep to Nov 2004 "," 1154.6 "," 831.3 "
" Oct to Dec 2004 "," 1167.4 "," 829.0 "
" Nov to Jan 2005 "," 1156.7 "," 826.4 "
" Dec to Feb 2005 "," 1182.6 "," 823.8 "
" Jan to Mar 2005 "," 1159.7 "," 825.2 "
" Feb to Apr 2005 "," 1165.7 "," 830.7 "
" Mar to May 2005 "," 1180.8 "," 841.5 "
" Apr to Jun 2005 "," 1180.0 "," 852.5 "
" May to Jul 2005 "," 1171.3 "," 861.3 "
" Jun to Aug 2005 "," 1172.1 "," 866.0 "
" Jul to Sep 2005 "," 1185.5 "," 870.3 "
" Aug to Oct 2005 "," 1229.6 "," 877.5 "
" Sep to Nov 2005 "," 1263.7 "," 888.4 "
" Oct to Dec 2005 "," 1290.7 "," 899.1 "
" Nov to Jan 2006 "," 1271.7 "," 907.5 "
" Dec to Feb 2006 "," 1304.6 "," 915.1 "
" Jan to Mar 2006 "," 1321.0 "," 924.4 "
" Feb to Apr 2006 "," 1347.3 "," 935.0 "
" Mar to May 2006 "," 1380.4 "," 944.0 "
" Apr to Jun 2006 "," 1408.8 "," 950.6 "
" May to Jul 2006 "," 1417.8 "," 954.4 "
" Jun to Aug 2006 "," 1417.0 "," 954.6 "
" Jul to Sep 2006 "," 1413.5 "," 955.4 "
" Aug to Oct 2006 "," 1414.3 "," 956.0 "
" Sep to Nov 2006 "," 1391.5 "," 955.3 "
" Oct to Dec 2006 "," 1410.6 "," 949.2 "
