"Date","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling overdrafts to households (in percent) not seasonally adjusted              [a] [b] [c]             IUMODTL"
"31 Oct 23","35.35"
"30 Sep 23","35.36"
"31 Aug 23","35.4"
"31 Jul 23","35.4"
"30 Jun 23","35.32"
"31 May 23","35.28"
"30 Apr 23","35.25"
"31 Mar 23","35.28"
"28 Feb 23","35.26"
"31 Jan 23","35.24"
"31 Dec 22","35.26"
"30 Nov 22","35.28"
"31 Oct 22","35.27"
"30 Sep 22","35.28"
"31 Aug 22","35.29"
"31 Jul 22","35.29"
"30 Jun 22","35.28"
"31 May 22","35.24"
"30 Apr 22","34.12"
"31 Mar 22","33.99"
"28 Feb 22","33.95"
"31 Jan 22","33.84"
"31 Dec 21","33.93"
"30 Nov 21","33.89"
"31 Oct 21","33.83"
"30 Sep 21","33.84"
"31 Aug 21","33.77"
"31 Jul 21","33.75"
"30 Jun 21","33.68"
"31 May 21","33.54"
"30 Apr 21","33.59"
"31 Mar 21","33.56"
"28 Feb 21","33.47"
"31 Jan 21","33.37"
"31 Dec 20","33.32"
"30 Nov 20","33.33"
"31 Oct 20","33.43"
"30 Sep 20","31.59"
"31 Aug 20","31.91"
"31 Jul 20","31.75"
"30 Jun 20","31.63"
"31 May 20","31.53"
"30 Apr 20","30.47"
"31 Mar 20","24.21"
"29 Feb 20","20.99"
"31 Jan 20","21.09"
"31 Dec 19","21.24"
"30 Nov 19","19.24"
"31 Oct 19","18.62"
"30 Sep 19","18.61"
"31 Aug 19","18.59"
"31 Jul 19","18.58"
"30 Jun 19","18.55"
"31 May 19","18.53"
"30 Apr 19","18.52"
"31 Mar 19","18.5"
"28 Feb 19","18.52"
"31 Jan 19","19.7"
"31 Dec 18","19.69"
"30 Nov 18","19.69"
"31 Oct 18","19.69"
"30 Sep 18","19.69"
"31 Aug 18","19.68"
"31 Jul 18","19.68"
"30 Jun 18","19.68"
"31 May 18","19.67"
"30 Apr 18","19.67"
"31 Mar 18","19.66"
"28 Feb 18","19.67"
"31 Jan 18","19.67"
"31 Dec 17","19.66"
"30 Nov 17","19.66"
"31 Oct 17","19.72"
"30 Sep 17","19.72"
"31 Aug 17","19.72"
"31 Jul 17","19.71"
"30 Jun 17","19.71"
"31 May 17","19.71"
"30 Apr 17","19.7"
"31 Mar 17","19.7"
"28 Feb 17","19.7"
"31 Jan 17","19.71"
"31 Dec 16","19.7"
"30 Nov 16","19.71"
"31 Oct 16","19.7"
"30 Sep 16","19.7"
"31 Aug 16","19.71"
"31 Jul 16","19.68"
"30 Jun 16","19.68"
"31 May 16","19.67"
"30 Apr 16","19.67"
"31 Mar 16","19.67"
"29 Feb 16","19.67"
"31 Jan 16","19.67"
"31 Dec 15","19.7"
"30 Nov 15","19.68"
"31 Oct 15","19.67"
"30 Sep 15","19.68"
"31 Aug 15","19.67"
"31 Jul 15","19.67"
"30 Jun 15","19.67"
"31 May 15","19.67"
"30 Apr 15","19.67"
"31 Mar 15","19.67"
"28 Feb 15","19.67"
"31 Jan 15","19.67"
"31 Dec 14","19.66"
"30 Nov 14","19.67"
"31 Oct 14","19.67"
"30 Sep 14","19.67"
"31 Aug 14","19.67"
"31 Jul 14","19.67"
"30 Jun 14","19.66"
"31 May 14","19.61"
"30 Apr 14","19.54"
"31 Mar 14","19.54"
"28 Feb 14","19.55"
"31 Jan 14","19.54"
"31 Dec 13","19.54"
"30 Nov 13","19.54"
"31 Oct 13","19.54"
"30 Sep 13","19.54"
"31 Aug 13","19.54"
"31 Jul 13","19.55"
"30 Jun 13","19.55"
"31 May 13","19.55"
"30 Apr 13","19.54"
"31 Mar 13","19.54"
"28 Feb 13","19.55"
"31 Jan 13","19.55"
"31 Dec 12","19.65"
"30 Nov 12","19.65"
"31 Oct 12","19.65"
"30 Sep 12","19.52"
"31 Aug 12","19.53"
"31 Jul 12","19.53"
"30 Jun 12","19.51"
"31 May 12","19.51"
"30 Apr 12","19.51"
"31 Mar 12","19.51"
"29 Feb 12","19.51"
"31 Jan 12","19.5"
"31 Dec 11","19.47"
"30 Nov 11","19.39"
"31 Oct 11","19.38"
"30 Sep 11","19.38"
"31 Aug 11","19.38"
"31 Jul 11","19.38"
"30 Jun 11","19.39"
"31 May 11","19.38"
"30 Apr 11","19.4"
"31 Mar 11","19.08"
"28 Feb 11","19.09"
"31 Jan 11","19.09"
"31 Dec 10","19.1"
"30 Nov 10","19.08"
"31 Oct 10","19.09"
"30 Sep 10","19.08"
"31 Aug 10","19.08"
"31 Jul 10","18.89"
"30 Jun 10","18.89"
"31 May 10","18.89"
"30 Apr 10","18.95"
"31 Mar 10","18.96"
"28 Feb 10","18.95"
"31 Jan 10","18.95"
"31 Dec 09","18.97"
"30 Nov 09","18.96"
"31 Oct 09","18.96"
"30 Sep 09","18.96"
"31 Aug 09","18.97"
"31 Jul 09","18.97"
"30 Jun 09","18.97"
