"Date","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling revert-to-rate mortgage to households (in percent) not seasonally adjusted              [a] [b] [c]             IUMTLMV"
"31 Oct 23","8.01"
"30 Sep 23","7.93"
"31 Aug 23","7.85"
"31 Jul 23","7.6"
"30 Jun 23","7.47"
"31 May 23","7.38"
"30 Apr 23","7.3"
"31 Mar 23","7.16"
"28 Feb 23","6.97"
"31 Jan 23","6.61"
"31 Dec 22","6.42"
"30 Nov 22","5.87"
"31 Oct 22","5.42"
"30 Sep 22","5.1"
"31 Aug 22","4.88"
"31 Jul 22","4.55"
"30 Jun 22","4.39"
"31 May 22","4.26"
"30 Apr 22","4.11"
"31 Mar 22","3.99"
"28 Feb 22","3.84"
"31 Jan 22","3.67"
"31 Dec 21","3.61"
"30 Nov 21","3.59"
"31 Oct 21","3.6"
"30 Sep 21","3.61"
"31 Aug 21","3.61"
"31 Jul 21","3.61"
"30 Jun 21","3.61"
"31 May 21","3.61"
"30 Apr 21","3.61"
"31 Mar 21","3.62"
"28 Feb 21","3.62"
"31 Jan 21","3.62"
"31 Dec 20","3.62"
"30 Nov 20","3.62"
"31 Oct 20","3.64"
"30 Sep 20","3.65"
"31 Aug 20","3.65"
"31 Jul 20","3.66"
"30 Jun 20","3.65"
"31 May 20","3.65"
"30 Apr 20","3.66"
"31 Mar 20","4.1"
"29 Feb 20","4.26"
"31 Jan 20","4.27"
"31 Dec 19","4.27"
"30 Nov 19","4.27"
"31 Oct 19","4.27"
"30 Sep 19","4.29"
"31 Aug 19","4.29"
"31 Jul 19","4.29"
"30 Jun 19","4.29"
"31 May 19","4.29"
"30 Apr 19","4.31"
"31 Mar 19","4.31"
"28 Feb 19","4.31"
"31 Jan 19","4.48"
"31 Dec 18","4.4"
"30 Nov 18","4.41"
"31 Oct 18","4.45"
"30 Sep 18","4.39"
"31 Aug 18","4.35"
"31 Jul 18","4.1"
"30 Jun 18","4.06"
"31 May 18","4.16"
"30 Apr 18","4.17"
