Downloaded from wid.world on 18-11-2023 at 15:01:51
Percentile;Year;"sptinc_z_CN
Pre-tax national income 
Top 10% | share
China"
p90p100;1820;0.4603
p90p100;1821;
p90p100;1822;
p90p100;1823;
p90p100;1824;
p90p100;1825;
p90p100;1826;
p90p100;1827;
p90p100;1828;
p90p100;1829;
p90p100;1830;
p90p100;1831;
p90p100;1832;
p90p100;1833;
p90p100;1834;
p90p100;1835;
p90p100;1836;
p90p100;1837;
p90p100;1838;
p90p100;1839;
p90p100;1840;
p90p100;1841;
p90p100;1842;
p90p100;1843;
p90p100;1844;
p90p100;1845;
p90p100;1846;
p90p100;1847;
p90p100;1848;
p90p100;1849;
p90p100;1850;0.4727
p90p100;1851;
p90p100;1852;
p90p100;1853;
p90p100;1854;
p90p100;1855;
p90p100;1856;
p90p100;1857;
p90p100;1858;
p90p100;1859;
p90p100;1860;
p90p100;1861;
p90p100;1862;
p90p100;1863;
p90p100;1864;
p90p100;1865;
p90p100;1866;
p90p100;1867;
p90p100;1868;
p90p100;1869;
p90p100;1870;
p90p100;1871;
p90p100;1872;
p90p100;1873;
p90p100;1874;
p90p100;1875;
p90p100;1876;
p90p100;1877;
p90p100;1878;
p90p100;1879;
p90p100;1880;0.5004
p90p100;1881;
p90p100;1882;
p90p100;1883;
p90p100;1884;
p90p100;1885;
p90p100;1886;
p90p100;1887;
p90p100;1888;
p90p100;1889;
p90p100;1890;
p90p100;1891;
p90p100;1892;
p90p100;1893;
p90p100;1894;
p90p100;1895;
p90p100;1896;
p90p100;1897;
p90p100;1898;
p90p100;1899;
p90p100;1900;0.5032
p90p100;1901;
p90p100;1902;
p90p100;1903;
p90p100;1904;
p90p100;1905;
p90p100;1906;
p90p100;1907;
p90p100;1908;
p90p100;1909;
p90p100;1910;0.6107
p90p100;1911;
p90p100;1912;
p90p100;1913;
p90p100;1914;
p90p100;1915;
p90p100;1916;
p90p100;1917;
p90p100;1918;
p90p100;1919;
p90p100;1920;0.5503
p90p100;1921;
p90p100;1922;
p90p100;1923;
p90p100;1924;
p90p100;1925;
p90p100;1926;
p90p100;1927;
p90p100;1928;
p90p100;1929;
p90p100;1930;0.5277
p90p100;1931;
p90p100;1932;
p90p100;1933;
p90p100;1934;
p90p100;1935;
p90p100;1936;
p90p100;1937;
p90p100;1938;
p90p100;1939;
p90p100;1940;0.4832
p90p100;1941;
p90p100;1942;
p90p100;1943;
p90p100;1944;
p90p100;1945;
p90p100;1946;
p90p100;1947;
p90p100;1948;
p90p100;1949;
p90p100;1950;0.267
p90p100;1951;
p90p100;1952;
p90p100;1953;
p90p100;1954;
p90p100;1955;
p90p100;1956;
p90p100;1957;
p90p100;1958;
p90p100;1959;
p90p100;1960;0.267
p90p100;1961;
p90p100;1962;
p90p100;1963;
p90p100;1964;
p90p100;1965;
p90p100;1966;
p90p100;1967;
p90p100;1968;
p90p100;1969;
p90p100;1970;0.267
p90p100;1971;
p90p100;1972;
p90p100;1973;
p90p100;1974;
p90p100;1975;
p90p100;1976;
p90p100;1977;
p90p100;1978;0.2781
p90p100;1979;0.2781
p90p100;1980;0.2789
p90p100;1981;0.2831
p90p100;1982;0.2871
p90p100;1983;0.288
p90p100;1984;0.2928
p90p100;1985;0.3014
p90p100;1986;0.3039
p90p100;1987;0.3022
p90p100;1988;0.3056
p90p100;1989;0.3111
p90p100;1990;0.3085
p90p100;1991;0.3151
p90p100;1992;0.3271
p90p100;1993;0.3391
p90p100;1994;0.3433
p90p100;1995;0.339
p90p100;1996;0.339
p90p100;1997;0.3391
p90p100;1998;0.3425
p90p100;1999;0.3479
p90p100;2000;0.3587
p90p100;2001;0.3662
p90p100;2002;0.3968
p90p100;2003;0.4051
p90p100;2004;0.4121
p90p100;2005;0.4216
p90p100;2006;0.4237
p90p100;2007;0.4269
p90p100;2008;0.4269
