DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1972,884231,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1973,867421,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1974,814930,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1975,759365,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1976,716827,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1977,688228,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1978,658686,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1979,648644,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1980,679848,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1981,718841,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1982,727939,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1983,717599,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1984,712402,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1985,712822,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1986,726629,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1987,744078,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1988,750049,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1989,765424,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1990,772196,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1991,769420,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1992,779626,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1993,785017,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1994,768424,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1995,754027,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1996,741795,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1997,724387,
ESTAT:DEMO_PJAN(1.0),16/10/24 23:00:00,A,NR,Y1,T,UK,1998,725140,
