Year,gdp_pc
1980, 	20612
1981, 	20319 
1982, 	20650 
1983, 	21366 
1984, 	21869 
1985, 	22579 
1986, 	23498 
1987, 	24536 
1988, 	25679 
1989, 	26164 
1990, 	26189 
1991, 	25792 
1992, 	25790 
1993, 	26349 
1994, 	27278 
1995, 	27861 
1996, 	28472 
1997, 	29260 
1998, 	30077 
1999, 	30933 
2000, 	31946 
2001, 	32660 
2002, 	33271 
2003, 	34232 
2004, 	34866 
2005, 	35624 
2006, 	36214 
2007, 	36817 
2008, 	36265 
2009, 	34402 
2010, 	34754 
2011, 	34971 
2012, 	35185 
2013, 	35618 
2014, 	36436 
2015, 	36941 
2016, 	37334 
2017, 	37783 
2018, 	38058 
