DATAFLOW,LAST UPDATE,freq,nace_r2,sizeclas,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,BE,2010,1.5,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,BE,2011,1.9,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,BG,2009,0.7,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,BG,2010,0.7,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,BG,2011,0.7,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,BG,2012,0.7,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,BG,2013,0.7,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,BG,2014,0.7,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,BG,2015,0.8,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,BG,2016,0.9,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,BG,2017,0.8,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,BG,2018,0.9,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,BG,2019,0.9,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,BG,2020,0.8,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,BG,2021,0.8,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,BG,2022,0.9,p
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,BG,2023,0.8,p
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,CZ,2008,3.2,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,CZ,2009,1.2,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,CZ,2010,0.8,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,CZ,2011,0.9,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,CZ,2012,1.0,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,CZ,2013,0.9,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,CZ,2014,1.3,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,CZ,2015,2.2,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,CZ,2016,2.9,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,CZ,2017,3.9,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,CZ,2018,5.6,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,CZ,2019,6.3,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,CZ,2020,5.5,
ESTAT:JVS_A_RATE_R2(1.0),13/09/24 11:00:00,A,A-S,TOTAL,AVG_A,CZ,2021,5.1,
