DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,AT,2022,49400,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,BE,2022,47430,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,BG,2022,13270,b
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,CH,2022,88570,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,CY,2022,30430,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,CZ,2022,25850,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,DE,2022,46260,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,DK,2022,64450,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,EE,2022,27040,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,EL,2022,19550,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,ES,2022,28280,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,FI,2022,48340,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,FR,2022,38550,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,HR,2022,17400,e
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,HU,2022,17440,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,IE,2022,98990,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,IS,2022,69870,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,IT,2022,33020,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,LT,2022,23800,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,LU,2022,118710,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,LV,2022,20610,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,ME,2022,9600,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,MT,2022,32430,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,NL,2022,54150,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,NO,2022,101050,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,PL,2022,17300,b
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,PT,2022,23530,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,RO,2022,15010,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,RS,2022,9070,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,SE,2022,53640,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,SI,2022,27040,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,SK,2022,19980,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_EUR_HAB,B1GQ,TR,2022,10150,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,AT,2022,49400,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,BE,2022,47430,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,BG,2022,25960,b
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,CH,2022,88990,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,CY,2022,30430,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,CZ,2022,634910,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,DE,2022,46260,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,DK,2022,479450,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,EE,2022,27040,
