DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2015-12,100.00,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2016-01,101.00,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2016-02,102.28,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2016-03,102.80,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2016-04,102.31,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2016-05,100.90,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2016-06,100.22,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2016-07,100.31,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2016-08,101.30,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2016-09,101.67,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2016-10,101.38,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2016-11,101.44,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2016-12,102.49,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2017-01,105.00,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2017-02,106.09,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2017-03,106.71,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2017-04,106.01,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2017-05,104.32,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2017-06,103.96,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2017-07,103.27,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2017-08,103.88,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2017-09,104.37,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2017-10,104.61,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2017-11,103.91,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2017-12,104.96,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2018-01,106.79,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2018-02,107.81,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2018-03,108.16,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2018-04,107.78,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2018-05,106.22,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2018-06,106.14,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2018-07,105.66,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2018-08,106.02,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2018-09,106.34,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2018-10,105.91,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2018-11,105.41,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2018-12,106.87,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2019-01,109.36,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2019-02,110.25,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2019-03,109.75,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2019-04,109.47,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2019-05,107.98,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2019-06,107.76,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2019-07,107.28,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2019-08,107.61,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2019-09,107.84,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2019-10,107.59,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2019-11,107.35,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2019-12,108.42,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2020-01,111.11,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2020-02,111.77,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2020-03,112.63,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2020-04,112.00,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2020-05,110.98,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2020-06,110.17,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2020-07,109.59,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2020-08,109.83,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2020-09,110.34,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2020-10,110.68,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2020-11,109.68,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2020-12,110.06,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2021-01,111.73,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2021-02,113.28,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2021-03,114.19,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2021-04,114.34,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2021-05,113.57,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2021-06,112.48,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2021-07,112.51,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2021-08,112.74,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2021-09,113.26,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2021-10,113.43,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2021-11,113.33,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2021-12,114.27,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2022-01,116.03,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2022-02,117.84,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2022-03,120.67,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2022-04,121.37,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2022-05,120.38,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2022-06,119.93,d
ESTAT:PRC_HICP_MIDX(1.0),31/10/23 11:00:00,M,I15,CP00,AL,2022-07,120.61,d
