DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,AL,2022,53.6,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,AT,2022,112,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,BA,2022,54.4,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,BE,2022,111.3,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,BG,2022,59.9,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,CH,2022,161,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,CY,2022,91.5,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,CZ,2022,80.9,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,DE,2022,112,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,DK,2022,132.3,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,EE,2022,88.6,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,EL,2022,82.2,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,ES,2022,93.5,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,FI,2022,125,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,FR,2022,107.8,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,HR,2022,66.6,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,HU,2022,64.5,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,IE,2022,119.7,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,IS,2022,154.3,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,IT,2022,96.1,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,LT,2022,74.9,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,LU,2022,129.8,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,LV,2022,79.8,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,ME,2022,53.6,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,MK,2022,47.8,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,MT,2022,88.6,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,NL,2022,117.5,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,NO,2022,135.2,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,PL,2022,61.9,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,PT,2022,85.5,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,RO,2022,55.5,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,RS,2022,57.4,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,SE,2022,126.6,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,SI,2022,86,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,SK,2022,82.8,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,TR,2022,41.7,
ESTAT:PRC_PPP_IND(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,GDP,UK,2022,122.8,
