DATAFLOW,LAST UPDATE,freq,s_adj,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2009-Q1,9.5,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2009-Q2,9.5,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2009-Q3,9.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2009-Q4,10.1,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2010-Q1,10.7,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2010-Q2,10.2,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2010-Q3,9.9,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2010-Q4,10.2,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2011-Q1,10.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2011-Q2,9.9,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2011-Q3,10.0,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2011-Q4,10.7,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2012-Q1,11.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2012-Q2,11.3,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2012-Q3,11.2,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2012-Q4,12.0,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2013-Q1,12.7,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2013-Q2,12.1,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2013-Q3,11.7,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2013-Q4,12.1,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2014-Q1,12.5,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2014-Q2,11.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2014-Q3,11.2,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2014-Q4,11.7,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2015-Q1,11.8,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2015-Q2,11.0,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2015-Q3,10.4,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2015-Q4,10.7,
